name,bio,location,investment_stages,investment_markets,portfolio_companies
Adam Silverman,"Passionate about experimental marketing, sales, and business development.

Helps private and public companies create content that drives industry-leading conversions.

Please send all inquiries to itsadamsilverman@gmail.com

I have done personal Influencer deals with: GoPro, Philips, Bose, Shure Microphones, EffyDesk, CalDigit, Atoms Shoes, Vessi, Canvia.art, HairStrong Band, and Ventray.",new-york-new-york,"early_stage_venture, seed, venture",,
Adam Singolda,"Adam Singolda is the founder and CEO at Taboola, the largest discovery platform, serving over 450 billion recommendations of articles, blogs, videos, products and apps to over 1.4 billion unique users every month.

Taboola serves personalized content recommendations, partnering with the world’s top publishers, brands, and marketers to drive audience development, engagement, and monetization. Taboola also empowers editorial, product, and sales teams with solutions built around real-time page optimization, robust native advertising offerings, and more.

Adam has spoken on stage at TEDx, Collision, Kaltura Connect, Business Insider’s IGNITION, ClickZ LIVE, Advertising Week, 360i Marketing Summit, Web Summit, Landmark Ventures Media Technology Summit, Streaming Media, NAB, NewTeeVee, ELEVATE, Meetup, and MIT (Sloan). He has also appeared in broadcast TV interviews on Bloomberg West, CNBC, and Fox Business.",new-york-new-york,seed,,
Adam S. Lasri,executive and partner.,paris-ile-de-france,,"saas-enterprise,fintech",
Adam Smith,"Founder of Digitalzer.com , Ai story Generator Tool",,,"saas-enterprise,fintech",
Adam Spector,"Adam Spector is the Founder, CEO, and Chief Startup Plumber at Levy.",san-francisco-california,"seed, early_stage_venture",,
Adam Spivack,Adam Spivack is the Co-Founder and General Partner of Truffle Ventures. He previously worked at Dexterity Capital as a Head of Liquidity. Adam Spivack attended Duke University.,new-york-new-york,,,
Adam Stewart,Adam Stewart is the 	President of Sandals Foundation. He previously worked at Sandals Resorts International as a Deputy Chairman. Adam Stewart attended,jamaica,private_equity,,
Adam Strong,Adam Strong is the Co-Founder at Evergreen. He attended Illinois State University.,springfield-illinois,seed,,
Adam Tabriz,"Dr. Tabriz is a Physician, Writer, Entrepreneur, public health policy expert, and founder of PX6 Medical Systems. The unique blend of experiences and expertise underlines his passion for upholding “Personalized Healthcare” and “Healthcare without Borders.”",fremont-california,early_stage_venture,,
Adam Tomis,Adam Tomis is the Investment Director at J&T Finance Group.,prague-hlavni-mesto-praha,,,
Adam Toren,,anthem-arizona,seed,,
Adam Traidman,Adam Traidman is the CEO at. He attended BRD.,zürich-zurich,seed,,
Adam Tran,"Adam Tran is a visionary entrepreneur making significant strides in the E-commerce, SaaS, and AI industries. With a decade of insight, his ecommerce endeavor amassed over $2 million in revenue, establishing him as a sought-after seller on platforms like Etsy and Amazon. This success parallels the growth of his SaaS firm, now boasting 40,000 satisfied users, and has garnered attention from Fox, NBC, CBS, and ABC.

As the founder and CEO of TG Group Inter Co., Ltd, Adam persistently stays ahead, diving into new trends like short films and AI to provide innovative solutions for online retailers.

Recently, Adam has embarked on two new ventures. First, AI Fire, a platform growing a robust community of over 30,000 professionals keen to harness practical AI applications. This platform breaks down complex AI concepts into understandable and actionable insights, aiding individuals in navigating the dynamic AI landscape.

Second, Adam has founded AIQrArt, a revolutionary platform where art meets code. AIQrArt empowers brands to craft unique, AI-generated QR Art, making their identity stand out in the market. With AIQrArt, businesses can not only create stunning AI QR codes but also gain access to advanced analytics, customize QR codes, and much more, enhancing their brand presence and interaction with customers.",hanoi-na---vietnam,,,
Adam Valkin,"Before joining General Catalyst Partners, Adam Valkin was at Accel Partners, where he was a Venture Partner in the firm’s London office focusing on investments in Internet and mobile services. At Accel he led investments in several early-stage companies including Dragonplay, Hailo, fiverr, Gocardless and Qriously, and also worked with Myheritage, Seeking Alpha and Spotify.

Prior to Accel, Adam was Global Head of Digital Media & New Business at television production company Endemol. He was previously a partner at venture capital firm Arts Alliance where he was involved with its investments in Kenshoo, Propertyfinder, and Prepay Technologies. Adam was also a co-founder, investor and one-time CEO of LOVEFiLM which was sold to Amazon.com in 2011.

As a Managing Director at General Catalyst Partners, Adam concentrates on early-stage technology companies. Adam is currently a board member of CCP (creator of Eve Online), an active General Catalyst investment. He is also responsible for the firm’s investments in LoyalBlocks and Yplan. He is based in the firm’s Cambridge office.

Adam was born and raised in Johannesburg, South Africa and holds a degree in economics from Harvard University.",cambridge-massachusetts,"Seed, Series B+, Series A","saas-enterprise,fintech,ecommerce-retail","Classpass, Ro, Hopin"
Adam Vincent,"Adam Vincent is a Member of the Board of Advisors at MissionLink Next.

Adam holds an MS in computer science with graduate certifications in computer security and information assurance from George Washington University.",mclean-virginia,,,
Adam Warby,"Adam works closely with the Avanade Board of Directors and his leadership team to realize the company’s mission of helping customers increase revenue, reduce costs and reinvest in innovation with proven solutions that extend Microsoft technologies.
 
Adam joined Avanade at its inception in April, 2000, and as one of the founding members, was instrumental in building the company and shaping its culture. A senior leader, Adam has significant experience managing and growing Avanade’s business operations, having served as General Manager and Senior Vice President for the company’s North American and European operations during his tenure. As Executive Vice President, he has also led Avanade’s worldwide sales and marketing teams, and set the vision and direction for Avanade solutions.
 
A true global citizen, Adam has lived in both Europe and North America, and has frequently traveled the globe visiting Avanade customers and regional offices.
 
Adam came to Avanade from Microsoft, where he was General Manager of the Midwest District, responsible for sales and support of Microsoft software throughout Illinois, Indiana, and Wisconsin. Prior to this position, he was General Manager of Microsoft's Enterprise Services, responsible for implementing the strategy and plans for Microsoft's direct and partner services organizations focused on enterprise customers. 

Adam earned a B.S. in Mechanical Engineering from Imperial College, London.",reading-united-kingdom,,,
Adam Weber,Adam Weber is the SVP of Community at 15Five. Adam Weber attended Ball State University.,indianapolis-indiana,,,
Adam Weitsman,"Adam Weitsman is an American entrepreneur and owner of Upstate Shredding - Weitsman Recycling, the East Coast's largest privately held scrap metal processing company headquartered in Owego, NY. Since Weitsman took over the business in 1997, it’s grown to 17 locations throughout New York and Pennsylvania. In 2005, Upstate Shredding acquired BenWeitsman & Son, a small retail yard in Owego, New York founded by his grandfather, Ben Weitsman, in 1938.

Under Weitsman’s leadership, Upstate Shredding has undergone upgrades that have exceeded the U.S. EPA and New York State Department of Environmental Conservation standards. With this focus on innovation, Upstate Shredding has become the first green plant in New York and the most technologically advanced company of its type in the world.  

Adam is an active philanthropist, benefitting a number of organizations in need throughout the Northeast. Adam co-owns several restaurants in Skaneateles, New York, which donate one hundred percent of all net proceeds to charities and in-need organizations in Central New York. Weitsman founded and is on the board of CNY Tuesdays and CNY Wednesdays, which allow community members to nominate organizations or individuals to receive weekly $2,000 grants through Upstate Shredding. He also donates to and sits on the board of the Tioga Boys and Girls Club of America, whose Tioga County chapter was founded by Adam’s grandfather, Ben, and remains close to his heart.

Weitsman is widely recognized for his innovation in business and technology and won the international Platts Industry Leadership Award in 2014 and 2016. Upstate Shredding - Weitsman Recycling has also received several awards under Weitsman’s leadership, including Scrap Company of the Year (large category) by the American Metal Market two years in a row in 2015 and 2016. 

Outside of his business and philanthropic ventures, Adam Weitsman is first and foremost a dedicated husband to his wife Kim and father to his three children, Clover, Rae, and Monroe.",new-york-united-states,,,
Adam Wenchel,Adam Wenchel is the CEO of Arthur AI and Chair of the Computer Science Advisory Board at the University of Maryland.,new-york-new-york,,,
Adam Wexler,Adam Wexler is the Founder & CEO of PrizePicks. He attended the University of Georgia - Terry College of Business.,atlanta-georgia,,,
Adam White,Adam White is the President of Bakkt.,new-york-new-york,,,
Adam Wiener,"Adam runs the New Business, Analytics & Marketing teams at Redfin. Adam leads the company's efforts to use our proprietary data to build new products for the web and improve our real estate services. He is also responsible for data-driven marketing efforts and identifying opportunities for business growth that align with the company's overall mission to reinvent the consumer experience for buying and selling real estate. Adam joined Redfin in 2007 on the product management team and was one of the pioneers of the Redfin Partner Program for agents, in addition to our service provider directory, Redfin Open Book. 

Prior to Redfin, Adam worked at Microsoft in the SQL Server Division for 5 years. Adam graduated from Stanford with a degree in Symbolic Systems, and a concentration in Human-Computer Interaction.",seattle-washington,,,
Adam Wiggins,Adam Wiggins is the Co-Founder and Partner at MuseApp.,berlin-berlin,seed,,
Adam Winnick,Adam Winnick is the Investor at Finality Capital Partners. He attended Stanford University Graduate School of Business.,united-states,,,
Adam Winter,Adam Winter is CTO at Clarus R+D.,columbus-ohio,,,
Adam Yorkshire,"Adam Yorkshire is a partner in MGO’s Media & Entertainment practice. Adam Yorkshire is Recognized as one of Variety’s Business ""Elite Business Managers"" year over year, and excels at all aspects of Business management. Adam is based in Los Angeles, California and travels to New York, Atlanta, Chicago, and Europe regularly for his clients. A father, Husband and Brother, Adam puts his family above all. He is a fan of Music, sports and History, which he enjoys researching through his travels Abroad. His charitable work includes helping animals and animal shelters in the Los Angeles County area and beyond. Adam Yorkshire is also a Foster Parent . There are more children in foster care in LA County than the rest of the country combined. They have been through, if nothing else, the trauma of being removed from their birth parents for various reasons. These children need homes and families to love them, raise them, and care about them and see them through to adulthood. My interest in foster care was born in a desire to do just that. Plainly speaking, the experience has been rife with some very low and difficult lows, but more importantly its been punctuated with some of the most rewarding and loving moments in my entire life. The little boy we're adopting has been through 15 homes, the majority of which were abusive. To see him come through all of that and join our family and keep his immensely large and warm heart is rather inspiring as any one of the incidents he has been through would send a well-adjusted adult into therapy for many years, but he soldiers on and nearly 2 years later is doing very well. He is truly a blessing to our family and I cannot imagine life without him in it each day!",los-angeles-california,private_equity,,
Adam Zeplain,"Adam Zeplain is the Co-Founder and Managing Partner at Mark Ventures. He focused on investing early-stage in areas such as Consumer Internet/Media, Consumer Packaged Goods, Enterprise SaaS, Marketplaces, and E-commerce. Adam serves on the Board of Advisors of Soma Capital (Ranadive's seed-stage YC focused fund), data. world, Umbel. 

 Adam also serves on the Advisory Council of Andela.",austin-texas,,"saas-enterprise,biotech-pharma",
Adarsh Bhatt,General Partner at Comma Capital and Chief Business Officer at Dukkantek.,"New York, New York","Pre-Seed, Seed",saas-enterprise,
Adarsh Kumar jha,"I am Adarsh Kumar Jha, a seasoned Full Stack Developer and Lead Generation Expert with 5+ years of experience. Alongside, I possess proficiency in Digital Marketing. With expertise in developing scalable web applications using various technologies, I excel in the entire software development life cycle. Additionally, my specialization in lead generation strategies has helped me drive business growth and achieve remarkable conversions. I am well-versed in digital marketing principles, leveraging digital channels to enhance brand awareness and execute successful campaigns. My adaptability, attention to detail, and problem-solving skills make me a valuable asset. Let's discuss how I can contribute to your success.",india,seed,,
Adarsh Menon,Adarsh Menon is the Operating Partner of Fireside Ventures. He previously worked at Flipkart as a Senior Vice President and Head of New Businesses. Adarsh Menon attended Faculty of Management Studies.,bengaluru-karnataka,,,
Adarsh Pallian,,vancouver-british-columbia,"early_stage_venture, seed",,
Ada Yeo,Ada Yeo was the Founder and CEO of Getshuffle. She attended Singapore Management University.,miami-florida,,,
Addie Lerner,"As a career institutional investor, Addie spent the prior decade at General Catalyst, General Atlantic, and Goldman Sachs’s Special Situations Group. At these firms, she helped to deploy over $450M across eighteen investments in fintech, consumer internet, and software companies spanning North America, Europe, and Israel.",new-york-new-york,"Series B+, Seed, Series A","saas-enterprise,fintech,ecommerce-retail","Coast, Alloy"
Addis Alemayehou,Addis Alemayehou is managing partner at 251 Communications.,addis-ababa-adis-abeba,,,
Addy Osmani,Addy Osmani  Is The Senior Staff Engineering Manager at Google.,mountain-view-california,seed,,
Adedayo Amzat,"Saheed Adedayo Amzat is the founder of the Zedcrest Capital Group, a securities dealing and proprietary investment firm. He is also the founder of Zedvance Finance limited, a leading Consumer lending fintech institution in Nigeria. He graduated from the University of Ilorin of with a degree in Industrial Chemistry. He also holds an MBA (Management & Accounting) from Obafemi Awolowo University.
Saheed holds the prestigious CFA charter from the CFA Institute. He is a Fellow of the Institute of Credit Management (ICA) and a Fellow & Member of Faculty of the Institute of Investment Advisers and Portfolio Managers (IAPM).",lagos-lagos,,fintech,
Adedoyin Adekoniye,Adedoyin Adekoniye is the Co-Founder of Kuda Market. He previously worked at Schoolville as a Senior Software Engineer. Adedoyin Adekoniye attended Tai Solarin University of Education.,lagos-lagos,seed,,
Adeel Yang,Adeel Yang is the Co-Founder and CEO at Dryvebox.,san-francisco-bay-area-california,,"healthcare,edtech",
Adegoke Olubusi,"Adegoke “Goke” Olubusi is the Co-founder & CEO of Helium Health, Africa's leading healthcare technology provider backed with over $12.5M in funding from Y Combinator, Tencent, The World Bank GEM Project and more. Passionate about supporting transformative companies, Goke is also the Managing Partner of Magic Fund, an early-stage venture capital firm based in California. Magic Fund has backed over 150 high-performing startups such as Payfazz, Kiwi, Retool, Bank Novo, Proof Trading, Sunhouse, Py (acq. Hired), etc. In 2021, Magic Fund launched their Fund II of $30m. He has received degrees in Engineering and Management from Johns Hopkins University, Morgan State University and King’s College. Goke began his career in technology building payments systems at Goldman Sachs, eBay & PayPal.",san-francisco-california,"Seed, Series A",,
Adekola Ayobami,"I Am CEO and Founder of Crypto Genius and Next Moonshot Gems, A Crypto Enthusiastic, Crypto Promoter, Crypto Marketer and Crypto Influencers",ibadan-oyo,venture,,
Adelaida Diaz-Roa,Adelaida S. Diaz-Roa is a Serial Entrepreneur and Angel Investor.,bogotá-distrito-especial,"early_stage_venture, seed",,
Adel Al-Saleh,"Adel Al-Saleh is based out of Betzdorf, Grevenmacher and is the Vice Chair of the Board of Global Satellite Operators Association and  Chief Executive Officer of SES Networks. Adel previously worked at BT as a Non Executive Director. Adel Al-Saleh attended Florida Atlantic University.",betzdorf-grevenmacher,,,
Adele Baaini,"Hi there! I'm Adele Baaini. I'm a mom to two lovely girls and I spend my days taking care of them at home. When I'm not busy with work or taking care of my family, you can find us enjoying time together at our family farm. I am not just a dedicated mother and seasoned professional; I have an exceptional organizational skill too and the ability to juggle various responsibilities with ease.",sydney-new-south-wales,,,
Adelina Dasso,Adelina Dasso is Latin America Partner at Accion Digital Transformation,,,,
Adel Salah,"Adel Salah is the founder and CEO of Portal365, which is a grant writing and management system for NGOs. Adel is both social and business entrepreneur. Adel has worked for number of national and international non-governmental organizations including WHO, Oxfam GB, CPI, YFCA and YWU. Adel is the founder and former CEO for the National Foundation for Development and Humanitarian Response (NFDHR). Since its establishment in June 20, 2012, NFDHR becomes the leading national NGO in Yemen with more than 600 staff working on 6 programs. Adel with his team has provided assistance and services to more than 2 million conflict affected people in Yemen. Adel left his team in NFDHR on Sept 2017 and started working on developing and investing on techs and technologies that focus in improving NGOs efficiency and impact.",vilnius-vilniaus-apskritis,non_equity_assistance,,
Ademide Blessing,"I am opeyemi folashade, i was born to the family of Mr&mrs Opeyemi Mary on 29/05/2004. i attend summit group of school at the age of 4 years old, When i was at the age of 6 years old, my grandma died and we move to another area when i attended imperial group of school i all ways attend in the class, i always do my assignment at the right time. i have 1 sister and her name is OLAITAN. my father is a muslism and my mother is a christian, i use to follow my mum to church because my father is not staying with us he a mechanic he works at Lagos but now he now staying us at Ogbomoso. i finished my secondary school at imperial group of school when i ave my wace there. After my WACE i gain admission to RAPHAT COLLEGE OF EDUCATION at obaagun osun state. i was on holiday when my sponsor intorduce this business to me",nigeria,private_equity,,
Ademola muritala adewale,"Ademola Muritala Adewale is a network marketing expert and freelancer hailing from Apomu, Osun State, Nigeria. A son of the proud Mr. and Mrs. Adewale, he was born on 16 May 1996. Ademola has honed his skills in network marketing and is also a successful freelancer in his field.
As a member of the vibrant and supportive FHG team, Ademola is known for his dedication and drive in his endeavors. With a Black complexion",apomu-oyo,early_stage_venture,,
Adena Friedman,Adena Friedman is the former President and CEO and is now the Chair and Chief Executive Officer of Nasdaq. Adena attended Vanderbilt University's Owen Graduate School of Management.,new-york-new-york,,,
Ade Olonoh,Ade Olonoh is the Venture Partner of Starting Line. He attended the Anderson University.,indianapolis-indiana,,,
Adeo Ressi,"Adeo Ressi is CEO of the Founder Institute (http://FI.co), a pre-seed startup accelerator that operates in nearly 200 cities worldwide. Adeo has founded or run ten technology businesses, and he has developed a number of innovations that help startup companies. He is passionate about mentoring Founders, space exploration and inspiring people to achieve their greatness.",palo-alto-california,seed,,
Adepoju Philips,"Entrepreneur, Angel Investor & Agriculturist",lagos-nigeria,early_stage_venture,,
Adeyemi Adenike Christianah,"A self taught programmer , is a highly skilled and experienced freelancer with a diverse background in various industries and specializations. Over the years, she has built a strong reputation for delivering high-quality work and exceptional client satisfaction. she is an expert in crafting and optimizing Fiverr gig descriptions and offers exceptional guidance for building a successful freelance career.


She's commitment to excellence, creativity, and client satisfaction makes her a valuable asset for any project or collaboration. Her versatile skill set, continuous growth, and dedication to delivering high-quality work ensure she consistently exceeds client expectations and thrives as a successful freelancer.

Taking her skills further and having done a vast amount of personal training in programming language such as python, selenium, and many more, she has improved the quality of her work and her software skills. 

Achieved consistent top-rated performance and 5-star reviews on Fiverr for delivering exceptional work and maintaining excellent client relationships.
Recognized as a highly reliable and versatile freelancer, receiving numerous referrals and returning clients.
Continuously expanded skill set and knowledge to stay current with the latest industry trends and best practices.
Working in a professional sense, He work out creative solutions to brands, start ups, NGOs and many more, to ensure his work matched his client expectations and outcomes. 

Successfully optimized and revamped numerous Fiverr gig descriptions, resulting in increased client engagement and order placements.
Developed personalized freelance career strategies for aspiring freelancers, helping them grow their businesses and achieve long-term success.
Crafted high-quality content for clients across different niches, improving their online presence and engagement.

She has built a strong reputation for delivering exceptional results and maintaining outstanding client relationships. She has excelled in crafting and optimizing Fiverr gig descriptions, providing invaluable guidance for developing a successful freelance career, and producing high-quality content for various platforms.

Throughout her freelance journey, Anabella has consistently received top-rated performance reviews and demonstrated her adaptability by working with clients across different industries. Her commitment to excellence, creativity, and client satisfaction makes her a highly sought-after freelancer who continuously strives for growth and success.

Adeyemi Adenike Christianah have interest in programming, Music, Photography & freelancing

He has a personal skills which are his Creative Ideas, Well Organised, Ability to Adapt easily, Attention to details, Management and ability to work with team

Currently residing in Ikirun, Adenike finds inspiration in the vibrant tapestry of Osun. The city's historical significance and cultural vibrancy provide a backdrop that shapes his perspective and '''influences''' his creative endeavors.

Proudly hailing '''from Nigeria, Adenike's  identity is deeply rooted in the rich traditions and values of his nation'''. her work not only resonates with local audiences but also connects him with a global community, transcending geographical boundaries.

Her passion lies in helping individuals and businesses achieve their goals by leveraging her expertise in crafting compelling Fiverr gig descriptions, providing guidance for building successful freelance careers, and creating engaging content. Her aspirations include continuing to grow as a versatile professional, staying updated with industry trends, and consistently delivering exceptional results for her clients.

Ultimately, her aims to inspire and empower others to pursue their dreams and find success in the ever-evolving world of freelancing.


Beyond her academic and professional pursuits, Adeyemi Adenike Christianah  is driven by a passion for exploration and expression. Her  online presence reflects a commitment to contribute meaningfully to the ''''''freelancing World'''''' sharing insights, experiences, and knowledge'''.
'''Adeyemi Adenike Christianah''' is a dedicated and accomplished freelancer with a passion for assisting clients in reaching their goals. With a strong track record of success in Fiverr gig creation, freelance career guidance, and content writing, she consistently delivers exceptional results and maintains outstanding client relationships. Her adaptability, commitment to excellence, and desire to empower others make her an invaluable asset in the freelance community'''.",nigeria,venture,,
Adeyemi Ajao,"Adeyemi (“Ade”) is the Co-founder and Managing Partner of Base10 Partners. Before Base10, Ade had a successful career as an entrepreneur and investor.

Ade was the co-founder and CEO of Tuenti (The “Spanish Facebook” which was acquired by Telefonica in 2010 for $100M), co-founder and CEO of Identified (“AI for HR” acquired by Workday in 2014) and a founding investor of Cabify (the largest ridesharing company in Latin America currently valued at over $1B). While at Workday, Ade led launch to Workday Ventures, the first fund focused on Applied AI for Enterprise Software and was VP of Technology Strategy.

Ade is originally from Spain and half Nigerian. He holds an MBA from Stanford’s Graduate School of Business. He also holds a J.D. in Law and a M.S in Economics from Icade University in Spain and studied a certificate on Machine Learning at Stanford.",san-francisco-california,"Seed, seed, Series A","saas-enterprise,fintech,ai-ml,logistics-supply-chain","Wonolo, Instacart, ShipBob"
Adeyemo Omotayo,"Adeyemo Omotayo is a Network Marketer and also a freelancer. A professional Digital and Social media marketing with years of experience also an expert in creating a verified and approved google knowledge panel for Personal, Brand or Company and also wikis.",,private_equity,,
Adey Salamin,"Adey Salamin is the Founder of iMENA Group & CEO of OpenSooq.com. Having started his career as an entrepreneur and a corporate executive, he has moved on to become an investment professional with a focus on TMT in recent years. Adey has enjoyed an international career having held senior management positions in the US and Jordan.",jordan,,,
Adhil Shetty,"Prior to BankBazaar.com, Adhil lived in New York City and managed Deloitte Touche Tomahatsu’s US East alliances with the world’s leading Information Management Company.

Earlier in his career, Adhil worked with Cisco Systems as an engineer in Bangalore and San Jose.

Adhil has a Masters degree in International Relations with a specialization in International Finance and Business from Columbia University in the City of New York, and a Bachelors degree in Engineering from the College of Engineering Guindy, Anna University.",chennai-tamil-nadu,,,
Adhithi Aji,"Adhithi Aji, the founder of Adrich, has over 6 years of related industry experience, including product management and technical research & development. With a passion for improving access to crucial consumer data, Adhithi started work on the idea while obtaining her Management of Science Degree in Innovation Management. She also holds an MBA in Supply Chain Management and a Bachelors in Electrical Engineering",pittsburgh-pennsylvania,,,
Adhityan K V,Adhityan K V is the Director Of Engineering at Shift Technology. He is a former CTO at GameChange Solutions. He attended the Vellore Institute of Technology.,dubai-dubai,"early_stage_venture, seed",,
Adiari Vazquez,"Adiari Vazquez is a Harvard-educated scientist and VC investor. She is passionate about leveraging disruptive tech to drive global businesses, and enjoys meeting ambitious entrepreneurs addressing big challenges. At Amazon’s Climate Pledge Fund, Adiari is investing to accelerate Amazon's transition to net-zero carbon.

Previously, at Next47, a €1 billion global venture fund backed by Siemens, she evaluated venture growth opportunities in Mobility, Chemistry, and AI. As the Industrial Tech lead for Caixa Capital’s Venture Capital team, she was an active venture builder while also executing early-stage investments in startups innovating in Chemistry & Materials, Sensors, Digital Industry, IoT, AgTech, and Energy.

Adiari has also been an advisor to the European Commission on defining strategies for stimulating green and industrial innovation. She previously worked as a Cleantech Consultant and Engineer in Boston, U.S., focusing on water tech.

While earning her Ph.D., she spearheaded an interdisciplinary collaboration executed at Harvard, MIT, Stanford, and the U.S. Department of Energy, among others, and discovered novel microbial pathways that aggravate mercury pollution. She received the esteemed U.S. National Science Foundation (NSF) Graduate Research Fellowship. She holds a B.Sc. in Engineering Sciences (2005), a Masters in Microbial Geochemistry (2010), and a Ph.D. in Environmental Chemistry and Engineering (2014) all from Harvard University, where she also lectured as a Teaching Fellow.",london-england,,"healthcare,iot-hardware",
Adi Arriansyah,Adi Arriansyah is the Founder and CEO of Teknologi.id and the Chairman and Founder of Sagara Technology. He attended Harvard Business School and Founder Institute.,jakarta-jakarta-raya,"convertible_note, crowdfunding, early_stage_venture, private_equity",,
Adia Sowho,"Adia Sowho, is the Director of Digital Business at Etisalat Nigeria. She started her career as an engineer with a mobile telecom operator in the US. After obtaining an MBA from the Kellogg School of Management and a stint at Deloitte Consulting, she returned home to Nigeria. In her current role, Adia works on developing mobile content, technology and financial services products through partnerships with Etisalat. She is hoping to find an app for time travel so she can go back in time to see Michael Jackson in concert.",nigeria,,,
Adi Azaria,Adi Azaria is the Chief Executive Officer of Workiz Inc. He previously worked at Sisense as a Co-Founder and Product manager. Adi Azaria attended Reichman University (IDC Herzliya).,tel-aviv-tel-aviv,,,
Adi Ben Mayor,,tel-aviv-tel-aviv,,"saas-enterprise,fintech,ecommerce-retail",
Adie Akuffo-Afful,Adie Akuffo-Afful,austin-texas,"seed, crowdfunding, early_stage_venture, convertible_note","fintech,ecommerce-retail,agtech-food,hr-future-of-work,travel-hospitality",
Adi Gozes,Adi Gozes is a Partner at Entrée Capital. He attended Tel Aviv University.,tel-aviv-tel-aviv,,"fintech,ai-ml,cybersecurity,healthcare,iot-hardware",
Adii Pienaar,Adii Pienaar is the Head of WooNew of Automattic. He previously worked at Cogsy as a Founder. Adii Pienaar attended Stellenbosch University.,cape-town-na---south-africa,seed,,
Adi Katz,Adi Katz is the Co-Founder and CEO of Group 107. He attended The Open University of Israel.,tel-aviv-tel-aviv,,,
Adil Ajmal,"Adil is a highly customer-focused engineering and product leader with a strong track record of building top-tier products and high-performing organizations at companies ranging from small startups all the way to large public companies including Intuit and Amazon.

Adil is currently the Chief Technology Officer at Fandom. In this role, he is focused on increasing fan engagement across Fandom's existing platform, as well as leading the development of new subscription products, gaming tools, and data services. Adil has previously held leadership positions at LendingHome, Amazon, TenMarks Education, Posterous, Intuit, United Online, Homestead Technologies and Razorfish.

At LendingHome Adil served as the CTO and led all Engineering, Product Management, Design, Data and Technology Operations. In addition he also oversaw the Consumer Mortgage and Retail Investment business units for the first year of the lives of those businesses and got them off the ground into standalone businesses.

At Amazon Adil served as the CTO & VP of Engineering of TenMarks Education where he was responsible for all product development and technology operations. Adil initially joined TenMarks as their CTO and the company’s first tech employee in the US. He built the TenMarks engineering, design, product and operations teams in the US from scratch and launched the new Common Core aligned TenMarks Math product which led to Amazon acquiring TenMarks. At Amazon he continued to scale the tech org and launched new products including TenMarks Math Teach and the TenMarks Summer Program.

At Posterous Adil served as the VP of Engineering and ran all engineering, product and technical operations. He launched a new product called Posterous Spaces and scaled the team, processes and infrastructure that helped lead to a successful acquisition by Twitter.

Prior to that Adil held multiple leadership positions at Intuit. He initially came to Intuit through the acquisition of Homestead Technologies and went on to run engineering for multiple web properties, x-sell, social and mobile initiatives tied to more than $200 million in annual revenue for Intuit’s Small Business Group (SBG). Properties included Intuit.com, Intuitwebsites.com, Homestead.com, In Product Discovery (x-sell), Intuit Community, Love a Local Business, Intuit Blog and the QuickBooks Web Registration Channel.

Prior to that Adil served as the Head of Development and Operations for the PhotoSite product at United Online. Adil came to United Online through the acquisition of PhotoSite which he helped build while at Homestead Technologies.

Prior to leading the PhotoSite engineering team at Homestead, Adil helped transition Homestead from a free offering to a fee based offering by first building and then managing all billing, provisioning, CRM, finance and marketing related engineering systems.

Prior to that Adil was a Principal Consultant at i-Cube and Razorfish where he served as the tech lead for the SAP Oil & Gas and mySAP.com projects.

Adil graduated with a BS in Computer Science from The University of Texas at Austin.

When not working Adil can be found skiing with his two sons, riding motorcycles or doing Schutzhund training with his German Shepherd dog.",san-francisco-bay-area-california,seed,,
Adi Levanon,"Adi Levanon is part of the investments team at FinTech Collective, an NYC based Venture Capital fund focused exclusively on financial services technology companies. Previously, Adi was involved in the Israeli tech and VC industry, with a myriad of experience on both the investment side along with business and legal operations. Adi’s experience includes working as an Associate at Rhodium, a family office located in Tel Aviv and Palo Alto, focusing on early stage startups in the digital media, internet and consumer mobile spaces. She has consulted and mentored Israeli startups that have been accepted to international accelerator programs and pitch competitions. Prior to such, Adi joined prominent Israeli Venture Capital fund Carmel Ventures, where she helped carry out Marcom & IR efforts. Additionally, Adi was Legal Counsel at Conduit, Israel’s first Internet startup reaching a $1.5B valuation, and was later promoted to Head of Compliance, where she managed a team of engineers and analysts.",new-york-new-york,"Pre-Seed, Seed, Series A","saas-enterprise,fintech,ai-ml,cybersecurity,cloud-infrastructure","Alloy, Unit"
Adil Razvi,"Adil Razvi is an Indian journalist and author, writer. And he is also the founder of online news media Razvipost, Co-founder of Newsglobal, He was born in (23 December 2006) Choudharpur, Amroha, uttar pradesh. His original name is Adil.",india,,,
Adil Syed,"Adil Syed is an Associate with Redpoint Ventures where he focuses on early-growth investment opportunities in internet, digital media, software / SaaS and mobile companies.  Adil supports Redpoint investments in these sectors and has been involved in the firm's investment in Twilio, Zendesk, Sonos, Open English and Viajanet.

Prior to joining Redpoint, Adil was a Senior Analyst in the investment banking division of Goldman Sachs where he focused on high-growth clean technology and renewable energy companies, power and utility companies and industrials.  Adil’s client coverage included strategic business development and financing discussions, execution of private investments, public offerings and M&A processes including the Amyris IPO and the Clipper Windpower sale to United Technologies Corporation.  Prior to investment banking,  Adil worked as a Financial Analyst for a wealth management team managing over $10B in assets in the Goldman Sachs San Francisco office.

Adil earned a bachelor’s degree in Economics from the University of California, Berkeley.",san-francisco-california,,,
Adil Virani,Adil Virani is the Founder and CEO at RevIQ . Adil is also the Founder of Blitz App,los-angeles-california,,,
